google_and_truth_bleu_score,google_and_truth_gleu_score
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9234732618882052,0.9565217391304348
1.0,1.0
0.9025139799587886,0.9454545454545454
0.9782092189509323,0.9871244635193133
1.0,1.0
1.0,1.0
0.9636162552773174,0.9787234042553191
0.9682406246501182,0.9813664596273292
0.9792923878387346,0.9877551020408163
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9157103753711766,0.9523809523809523
0.9559112197162899,0.9743589743589743
0.9708351611332822,0.9828571428571429
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9749308025055269,0.9852216748768473
1.0,1.0
1.0,1.0
0.8843865924896842,0.9361702127659575
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8725129388059689,0.9302325581395349
0.954297861697201,0.9734513274336283
0.9594863506034305,0.9763779527559056
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9278982724420874,0.958904109589041
1.0,1.0
0.8394327083733336,0.9142857142857143
0.9594863506034305,0.9763779527559056
1.0,1.0
1.0,1.0
0.9496952283401919,0.970873786407767
0.9594863506034305,0.9763779527559056
0.9665395661812441,0.9803921568627451
1.0,1.0
0.9516433313522539,0.9719626168224299
0.9691494459374252,0.9798657718120806
1.0,1.0
0.9619541754104973,0.9777777777777777
1.0,1.0
0.9594863506034305,0.9763779527559056
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9172286979619474,0.952
0.9665395661812441,0.9803921568627451
0.9651391201669045,0.9795918367346939
1.0,1.0
0.9061874434879645,0.9473684210526315
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9271746317040298,0.9538461538461539
0.9428161760377307,0.9664804469273743
0.9678317907712601,0.9811320754716981
1.0,1.0
0.9516433313522539,0.9719626168224299
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9590339766852588,0.9734513274336283
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9475833735368083,0.9696969696969697
1.0,1.0
1.0,1.0
0.9540058159737559,0.9702970297029703
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9172286979619474,0.952
0.9063570877245087,0.9459459459459459
0.8942255541978509,0.9411764705882353
1.0,1.0
0.8873133342926623,0.9354838709677419
0.9370011451812967,0.963855421686747
1.0,1.0
0.9370520341487665,0.9631901840490797
0.9782092189509323,0.9871244635193133
1.0,1.0
1.0,1.0
0.9594863506034305,0.9763779527559056
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.944673521293269,0.9617834394904459
1.0,1.0
1.0,1.0
0.8942255541978509,0.9411764705882353
1.0,1.0
1.0,1.0
0.9733254474339004,0.9842931937172775
1.0,1.0
1.0,1.0
1.0,1.0
0.9061874434879645,0.9473684210526315
1.0,1.0
1.0,1.0
0.8696160820399262,0.9259259259259259
1.0,1.0
1.0,1.0
1.0,1.0
0.977421864143982,0.9866666666666667
0.8787419089273848,0.9333333333333333
1.0,1.0
1.0,1.0
